iter	RMSE
0	79579.55515
1	79320.41698
2	79073.40503
3	78839.51235
4	78616.53677
5	78403.55631
6	78207.8946
7	78016.99775
8	77840.93433
9	77672.93355
10	77512.69167
11	77362.56408
12	77220.48436
13	77083.24733
14	76951.60266
15	76826.27791
16	76703.26851
17	76593.55845
18	76483.44228
19	76378.35176
20	76283.52575
21	76194.29488
22	76105.74453
23	76023.16214
24	75942.40864
25	75868.78392
26	75798.78812
27	75729.20881
28	75663.98547
29	75602.27768
30	75539.12478
31	75483.28484
32	75427.58639
33	75376.25645
34	75328.17556
35	75282.26756
36	75237.05646
37	75193.92062
38	75154.00533
39	75114.07554
40	75081.93551
41	75046.22667
42	75013.56964
43	74982.15835
44	74951.43547
45	74920.42595
46	74890.4814
47	74862.27677
48	74836.48374
49	74811.83303
50	74788.66096
51	74766.83133
52	74744.71765
53	74725.02884
54	74706.85651
55	74688.95055
56	74671.94506
57	74654.23503
58	74639.19688
59	74618.84577
60	74602.72775
61	74588.37758
62	74572.31284
63	74558.65901
64	74544.64004
65	74532.77391
66	74521.43289
67	74508.00904
68	74496.01437
69	74485.65269
70	74474.60444
71	74464.33731
72	74453.45826
73	74441.48287
74	74431.84942
75	74423.36383
76	74414.74937
77	74404.01149
78	74396.0341
79	74382.55978
80	74375.70012
81	74366.9865
82	74359.7726
83	74350.71675
84	74344.52319
85	74336.51614
86	74327.81607
87	74318.77712
88	74311.70224
89	74306.31697
90	74301.1444
91	74294.57314
92	74285.61531
93	74273.01176
94	74268.63501
95	74264.46308
96	74259.93224
97	74254.2415
98	74249.35338
99	74241.22536
100	74232.34296
101	74228.44696
102	74219.01226
103	74214.36788
104	74203.35789
105	74197.19425
106	74192.55904
107	74185.05513
108	74179.89291
109	74172.65454
110	74168.48118
111	74162.64302
112	74159.49541
113	74152.80604
114	74149.61187
115	74146.12193
116	74141.18287
117	74133.1882
118	74127.51583
119	74121.79015
120	74112.51458
121	74109.30755
122	74105.88096
123	74103.22605
124	74099.32684
125	74094.99854
126	74090.36253
127	74086.96277
128	74079.47487
129	74076.17015
130	74067.58802
131	74064.5729
132	74062.69919
133	74058.27464
134	74052.66839
135	74044.99745
136	74042.10569
137	74037.57292
138	74030.78616
139	74027.91965
140	74025.84144
141	74022.60425
142	74020.68291
143	74016.91038
144	74010.5179
145	74004.44125
146	73993.91872
147	73992.15109
148	73986.76193
149	73983.34579
150	73976.0937
151	73973.35715
152	73969.27401
153	73964.30351
154	73957.04256
155	73954.52383
156	73949.44641
157	73948.34752
158	73944.97556
159	73939.67622
160	73937.44569
161	73933.21981
162	73930.07416
163	73923.77343
164	73918.83275
165	73915.94836
166	73912.22811
167	73909.11785
168	73902.11158
169	73896.4288
170	73894.53392
171	73892.38123
172	73885.27717
173	73883.00508
174	73877.26965
175	73870.21259
176	73867.00768
177	73864.59132
178	73862.98213
179	73860.62788
180	73858.52525
181	73855.37328
182	73853.70226
183	73850.00238
184	73846.74348
185	73841.98321
186	73839.69113
187	73837.14073
188	73830.19633
189	73827.85211
190	73825.2238
191	73816.62916
192	73815.34185
193	73805.8579
194	73802.91686
195	73793.31752
196	73788.05739
197	73784.08111
198	73781.33005
199	73777.92607
200	73774.96904
201	73769.43163
202	73767.54869
203	73762.22047
204	73756.22732
205	73754.56139
206	73753.39218
207	73747.99403
208	73745.67058
209	73744.12725
210	73735.10109
211	73732.76824
212	73730.35505
213	73728.95867
214	73727.73781
215	73725.69396
216	73717.20836
217	73710.79936
218	73708.10022
219	73704.89923
220	73703.51078
221	73697.54649
222	73691.39646
223	73686.58957
224	73685.19345
225	73680.86247
226	73675.21814
227	73671.39979
228	73670.08767
229	73668.08042
230	73664.08707
231	73660.70933
232	73658.76082
233	73655.01578
234	73653.47637
235	73652.34835
236	73651.26524
237	73650.2062
238	73647.38716
239	73643.9761
240	73642.01006
241	73638.64194
242	73632.68946
243	73628.34461
244	73627.31422
245	73621.93069
246	73620.85128
247	73618.31123
248	73617.65465
249	73616.26776
250	73611.41008
251	73606.26741
252	73604.61592
253	73602.92257
254	73600.00334
255	73598.62113
256	73597.60107
257	73593.5842
258	73587.12206
259	73582.96045
260	73579.39587
261	73575.96288
262	73573.53259
263	73570.3887
264	73564.59936
265	73561.52767
266	73556.09468
267	73553.08285
268	73550.3754
269	73549.10478
270	73545.36188
271	73544.06346
272	73540.96809
273	73538.66881
274	73536.38047
275	73533.94041
276	73533.72357
277	73533.58204
278	73528.70132
279	73527.02957
280	73522.83984
281	73520.83364
282	73518.5529
283	73516.35462
284	73510.43772
285	73507.82284
286	73504.3754
287	73501.96912
288	73501.20515
289	73496.16394
290	73494.03821
291	73492.43709
292	73490.46752
293	73484.70625
294	73480.96103
295	73478.84395
296	73477.8167
297	73468.57833
298	73467.1983
299	73464.82327
300	73463.36119
