iter	Passed	Remaining
0	19	19006
1	40	20032
2	60	20017
3	75	18856
4	90	17915
5	105	17521
6	117	16730
7	132	16418
8	147	16245
9	163	16175
10	178	16033
11	196	16166
12	210	15947
13	224	15812
14	241	15871
15	259	15946
16	280	16195
17	297	16219
18	312	16156
19	330	16182
20	343	15994
21	359	15989
22	376	16000
23	390	15882
24	408	15938
25	426	15972
26	447	16128
27	464	16110
28	481	16130
29	496	16059
30	514	16082
31	531	16068
32	548	16066
33	564	16050
34	581	16023
35	595	15944
36	607	15821
37	624	15816
38	641	15802
39	657	15784
40	675	15798
41	691	15771
42	706	15721
43	724	15737
44	740	15710
45	756	15687
46	771	15641
47	789	15657
48	806	15643
49	821	15613
50	839	15625
51	854	15581
52	870	15545
53	887	15541
54	901	15495
55	915	15437
56	930	15398
57	946	15377
58	960	15319
59	974	15269
60	990	15247
61	1003	15188
62	1020	15171
63	1036	15163
64	1052	15135
65	1067	15102
66	1083	15092
67	1098	15053
68	1113	15017
69	1127	14974
70	1139	14913
71	1154	14874
72	1168	14833
73	1183	14808
74	1199	14793
75	1215	14780
76	1229	14738
77	1243	14702
78	1268	14788
79	1291	14857
80	1311	14877
81	1331	14902
82	1348	14898
83	1364	14876
84	1379	14845
85	1393	14808
86	1408	14778
87	1421	14735
88	1435	14696
89	1449	14651
90	1464	14633
91	1479	14599
92	1494	14578
93	1511	14563
94	1525	14529
95	1538	14485
96	1551	14443
97	1565	14404
98	1579	14374
99	1592	14336
100	1608	14313
101	1623	14289
102	1636	14252
103	1649	14209
104	1663	14177
105	1677	14150
106	1692	14121
107	1708	14108
108	1720	14066
109	1736	14051
110	1751	14026
111	1767	14015
112	1786	14019
113	1804	14021
114	1824	14038
115	1837	14005
116	1854	13999
117	1873	14004
118	1892	14014
119	1910	14008
120	1929	14018
121	1947	14018
122	1961	13988
123	1976	13959
124	1992	13945
125	2006	13918
126	2021	13895
127	2037	13879
128	2052	13859
129	2067	13836
130	2082	13816
131	2097	13791
132	2112	13770
133	2124	13731
134	2139	13707
135	2153	13680
136	2169	13664
137	2184	13642
138	2198	13616
139	2214	13601
140	2229	13582
141	2243	13557
142	2255	13519
143	2270	13499
144	2285	13476
145	2298	13444
146	2314	13427
147	2328	13403
148	2341	13373
149	2357	13359
150	2370	13330
151	2384	13302
152	2399	13282
153	2413	13257
154	2427	13236
155	2440	13204
156	2455	13187
157	2469	13160
158	2483	13133
159	2495	13103
160	2510	13082
161	2524	13059
162	2540	13043
163	2555	13026
164	2568	12998
165	2584	12983
166	2598	12963
167	2611	12931
168	2625	12910
169	2639	12888
170	2653	12863
171	2667	12842
172	2681	12817
173	2696	12799
174	2710	12780
175	2724	12754
176	2737	12730
177	2751	12707
178	2765	12683
179	2778	12658
180	2793	12641
181	2807	12619
182	2821	12595
183	2834	12572
184	2849	12555
185	2865	12538
186	2882	12532
187	2897	12516
188	2913	12501
189	2928	12483
190	2944	12472
191	2957	12445
192	2972	12428
193	2986	12407
194	2999	12380
195	3012	12355
196	3024	12328
197	3037	12303
198	3053	12291
199	3068	12274
200	3084	12262
201	3098	12240
202	3111	12215
203	3125	12195
204	3137	12168
205	3152	12152
206	3167	12133
207	3181	12113
208	3196	12095
209	3210	12076
210	3223	12054
211	3239	12042
212	3254	12025
213	3269	12007
214	3283	11988
215	3295	11960
216	3308	11936
217	3323	11921
218	3340	11912
219	3355	11896
220	3371	11885
221	3387	11870
222	3401	11850
223	3416	11836
224	3432	11822
225	3447	11805
226	3460	11785
227	3474	11765
228	3489	11747
229	3502	11724
230	3515	11704
231	3530	11685
232	3545	11672
233	3561	11658
234	3576	11642
235	3589	11618
236	3603	11600
237	3617	11582
238	3632	11567
239	3647	11549
240	3663	11536
241	3677	11519
242	3694	11508
243	3708	11490
244	3722	11470
245	3736	11452
246	3750	11433
247	3764	11414
248	3779	11400
249	3794	11382
250	3806	11359
